id,tx1,ty1
0,61,61
1,47,37
2,60,69
3,27,70
4,46,86
5,54,45
6,57,9
7,28,55
8,43,26
9,45,63
10,62,22
11,64,44
12,30,68
13,83,19
14,39,32
15,68,24
16,79,6
17,25,60
18,44,70
19,62,43
20,77,14
21,70,13
22,55,42
23,32,46
24,55,71
25,45,46
26,52,32
27,60,56
28,93,2
29,48,22
30,72,47
31,26,42
32,56,66
33,51,69
34,64,49
35,74,39
36,13,45
37,60,53
38,52,28
39,61,46
40,5,43
41,30,45
42,46,53
43,41,53
44,33,92
45,46,28
46,42,72
47,65,26
48,29,56
49,25,64
50,48,26
51,66,50
52,67,49
53,56,60
54,49,61
55,59,41
56,59,51
57,67,48
58,53,17
59,52,40
60,64,45
61,45,68
62,49,63
63,43,52
64,48,57
65,42,90
66,83,20
67,65,35
68,80,21
69,60,50
70,57,56
71,43,98
72,34,70
73,58,45
74,71,47
75,4,41
76,43,48
77,54,59
78,63,47
79,57,27
80,60,44
81,34,56
82,98,4
83,62,53
84,30,34
85,50,36
86,56,63
87,53,43
88,51,59
89,50,78
90,87,9
91,68,47
92,60,46
93,44,84
94,55,58
95,60,49
96,44,66
97,44,43
98,12,41
99,38,46
100,48,13
101,66,36
102,81,13
103,60,52
104,34,65
105,71,36
106,84,11
107,37,47
108,39,34
109,49,9
110,47,52
111,32,55
112,57,69
113,60,57
114,38,84
115,37,57
116,53,67
117,42,66
118,63,45
119,42,95
120,26,74
121,53,58
122,82,17
123,30,52
124,67,46
125,53,45
126,66,44
127,66,43
128,35,35
129,55,53
130,47,50
131,55,63
132,71,4
133,56,36
134,76,15
135,92,4
136,36,56
137,48,20
138,35,68
139,0,43
140,44,64
141,4,48
142,22,61
143,74,13
144,53,36
145,69,28
146,56,49
147,42,50
148,49,53
149,63,29
150,62,42
151,79,17
152,53,14
153,58,55
154,42,62
155,44,86
156,32,59
157,56,35
158,50,48
159,66,29
160,56,59
161,81,22
162,42,59
163,40,68
164,43,74
165,60,42
166,29,70
167,54,38
168,40,58
169,91,11
170,48,17
171,59,37
172,56,33
173,46,77
174,37,82
175,28,61
176,45,52
177,50,41
178,47,58
179,17,68
180,75,11
181,48,15
182,51,73
183,56,41
184,84,4
185,55,44
186,53,56
187,59,42
188,51,47
189,49,67
190,25,45
191,53,62
192,66,4
193,60,40
